Berufsfelder;;;;;;
1 Verkehr, Logistik, Schutz und Sicherheit;;;;;;
2 Gesundheit, Soziales, Lehre & Erziehung;;;;;;
3 Berufsfeld Kosmetik und Körperpflege;;;;;;
4 Kaufmännische Dienstleistungen, Warenhandel, Vetrieb;;;;;;
5 Hotel und Gastronomie, Lebensmittelherstellung und Verarbeitung ;;;;;;
6 Rohstoffgewinnung, Produktion & Fertigung;;;;;;
7 Naturwissenschaft, Informatik, Technik und Gestaltung;;;;;;
8 Banken & Versicherungen, Unternehmensorganisation, Buchhaltung, Recht & Verwaltung;;;;;;
9 Handwerk, Bau, Architektur, Vermessung & Gebäudetechnik;;;;;;
10 Sonstige Bildungsgänge der Berufskollegs und Weiterbildungen;;;;;;
11 Naturwissenschaft, Informatik, Technik und Gestaltung;;;;;;
12 Banken & Versicherungen, Unternehmensorganisation, Buchhaltung, Recht & Verwaltung;;;;;;
13 Handwerk, Bau, Architektur, Vermessung & Gebäudetechnik;;;;;;
14 Sonstige Bildungsgänge der Berufskollegs und Weiterbildungen;;;;;;
15 Land-, Fort- und Tierwirtschaft sowie Gartenbau;;;;;;
Verkehr, Logistik, Schutz und Sicherheit;;;;;;
"Ev. Diakon/in
in Kombination mit Pflegeausbildung (z.B. Krankenpflege, Heilerziehungspflege, Altenpflege)- in Planung";;Ev. Bildungsstätte für Diakonie und Gemeinde;Abschluss entsprechend denErfordernissen der Fachschulen/ Fachoberschulen oder Pflegeausbildung/ berufsbegleitend 1 Jahr vor und 2 Jahre nach Fachausbildung;M1;108;
Gesundheits- u. Kinderkrankenpfleger/in/ Bei entsprechenden Qualifiaktionen besteht die Möglichkeit für ein ausbildungsbegleitendes, duales Studium der Pflegewissenschaft  an der FH der Diakonie ;;Gesundheitsschulen im EvKB;FOR oder vergleichbarer Abschluss/ 3 Jahre;M1;108;
Gesundheits- u. Krankenpflegeassistent/in (Ausbildungsbeginn 01.04.);;Gesundheitsschulen im EvKB;HS 10/ 1 Jahr;M1;108;
Gesundheits- u. Krankenpfleger;;Gesundheitsschulen im EvKB;FOR oder vergleichbarer Abschluss/ 3 Jahre;M1;108;
Gymnastiklehrer/in, staatl. geprüft;;Berufskolleg für Gymnastik;FOR/ 3 Jahre;H1;H1038;
Hauswirtschafter/in;;Landwirtschaftskammer NRW, Münster;HS/ 3 Jahre;H1;H 0032;
Hauswirtschafter/in;;Maria-Stemme-Berufskolleg;HS-9/ 2 Jahre;H1;H 1039;
Heilerziehungspfleger/in (staatlich geprüft);;Friedr.-v. Bodelschwingh-Schulen;"FOR + einschlägiger Berufsabschluss (2-jährige Ausbildung) oder FOR+Berufsabschluss (3-jährige Ausbildung, nicht einschlägig)+900 Stunden Praxis oder FHR im Schwerpunkt Gesundheitswesen, FOS 11/12 oder AHR+900 Stunden Praxis

";M1;105;
Heilerziehungspfleger/in ;;Friedr.-v. Bodelschwingh-Schulen;"FOR + einschlägiger Berufsabschluss (2-jährige Ausbildung) oder FOR+Berufsabschluss (3-jährige Ausbildung, nicht einschlägig)+900 Stunden Praxis oder FHR im Schwerpunkt Gesundheitswesen, FOS 11/12 oder AHR+900 Stunden Praxis

";M1;105;
Heilerziehungspfleger/in (staatlich geprüft);;AWO - Berufskolleg für das Sozial- und Gesundheitswesen;FOR + Berufsabschluss / FHR/ 3 Jahre;H1;H1042a;
